label,text,text_length,processed_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,Ok lar... Joking wif u oni...,29,ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
ham,U dun say so early hor... U c already then say...,49,u dun say earli hor u c alreadi say
ham,"Nah I don't think he goes to usf, he lives around here though",61,nah dont think goe usf live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",147,freemsg hey darl week word back id like fun still tb ok xxx std chg send � rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,winner valu network custom select receivea � prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,urgent week free membership � prize jackpot txt word claim tc lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),26,oh kim watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,eh u rememb spell name ye v naughti make v wet
ham,Fine if that��s the way u feel. That��s the way its gota b,58,fine that�� way u feel that�� way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+",155,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txt̼ poboxoxwwq
ham,Is that seriously how you spell his name?,41,serious spell name
ham,I���m going to try for 2 months ha ha only joking,49,i���m go tri month ha ha joke
ham,So �_ pay first lar... Then when is da stock comin...,53,� pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
ham,Lol your always so convincing.,30,lol alway convinc
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,catch bu fri egg make tea eat mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,im back amp pack car ill let know there room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,ahhh work vagu rememb feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,wait that still clear sure sarcast that x doesnt want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,188,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
ham,K tell me anything about you.,29,k tell anyth
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,thank subscript rington uk mobil charg �month pleas confirm repli ye repli charg
ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,yup ok go home look time msg � xuhui go learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",47,oop ill let know roommat done
ham,I see the letter B on my car,28,see letter b car
ham,Anything lor... U decide...,27,anyth lor u decid
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,hello how saturday go text see youd decid anyth tomo im tri invit anyth
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,pl go ahead watt want sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,WHO ARE YOU SEEING?,19,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,great hope like man well endow ltgt inch
ham,No calls..messages..missed calls,32,callsmessagesmiss call
ham,Didn't you get hep b immunisation in nigeria.,45,didnt get hep b immunis nigeria
ham,"Fair enough, anything going on?",31,fair enough anyth go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,yeah hope tyler cant could mayb ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
ham,What you thinked about me. First time you saw me in class.,58,think first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,k fyi x ride earli tomorrow morn he crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
ham,"Sorry, I'll call later in meeting.",34,sorri ill call later meet
ham,Tell where you reached,22,tell reach
ham,Yes..gauti and sehwag out of odi series.,40,yesgauti sehwag odi seri
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,gonna pick burger way home cant even move pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,48,ha ha ha good joke girl situat seeker
ham,Its a part of checking IQ,25,part check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",56,sorri roommat took forev ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589",152,valu custom pleas advis follow recent review mob award � bonu prize call
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,today song dedic day song u dedic send ur valuabl frnd first rpli
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,urgent ur award complimentari trip eurodisinc trav acoentri � claim txt di �morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,hear new divorc barbi come ken stuff
ham,I plane to give on this month end.,34,plane give month end
ham,Wah lucky man... Then can save money... Hee...,46,wah lucki man save money hee
ham,Finished class where are you.,29,finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,hi babe im home wanna someth xx
ham,K..k:)where are you?how did you performed?,42,kkwhere youhow perform
ham,U can call me now...,20,u call
ham,I am waiting machan. Call me once you free.,43,wait machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,that cool gentleman treat digniti respect
